Q,A
When do I find out if I’ve been offered a UCF merit scholarship?,"We recommend applying for admission between August and October of your senior year to be considered for a UCF merit scholarship. The Priority Scholarship Application Deadline is November 1. The Scholarship Committee will review admitted freshmen for scholarships in November and periodically thereafter while funds are available, however, scholarship resources are limited, and additional awards may be extremely competitive after the deadline. If you are awarded a merit scholarship, you will receive an official letter in the mail with details on your scholarship. You may also check your status on myUCF."
When do I have to send final transcripts to UCF?,"FRESHMEN:  A copy of your official final transcript showing the date of high school graduation is due no later than June 30 for students enrolling in the summer term and no later than July 15 for students enrolling in fall. If your transcript does not match information provided on your SPARK Form, your offer of admission may be rescinded. You must also submit official final transcripts from every post-secondary institution (i.e. dual enrollment) attended. TRANSFERS:  A copy of your official final transcripts from each institution attended is required. If you satisfied the foreign language requirement in high school, a copy of your official final high school transcript must be submitted to the Office of Undergraduate Admissions. ALL:  Failure to provide final transcripts to UCF may also delay the disbursement of financial aid. Failure to meet all admission criteria will result in a change in your eligibility for financial aid. Your admission is contingent upon your successful completion of all coursework at a level consistent with that at the time of admission. Your enrollment is not complete until all official final transcripts and test scores are on file in our office. The status of these transcripts is available on your Future Knight Portal. Failure to provide final transcripts will jeopardize your ability to adjust your schedule, register for future terms, receive grades or have transcripts sent to other institutions. NOTE: All documents, including documents submitted electronically, require processing time. Document processing time varies by time of year: Non-peak: 5-7 business days minimum Peak times (around application deadlines and first few weeks of each semester): 7-10 business days minimum To avoid delays, submit all required documents as early as possible and well before deadlines."
Will I receive college credit for my AICE/AP/CLEP/IB scores?,"Students can refer to the UCF catalog for Test Credit Equivalencies."
Will someone be at Open House to help me with enrollment questions?,"Yes. Admissions representatives will be available throughout the day, and a table will be set up in our Student Services Showcase so that you can pay your $200 enrollment deposit. Deposits can be paid with a debit or credit card and by check or money order. Cash is not accepted."
I am a student who has been impacted by Hurricane Maria. What are my options?,"During fall 2018, the UCF Board of Trustees extended the initial waiver for out-of-state tuition and fees through summer 2023 for residents of Puerto Rico and the U.S. Virgin Islands who were enrolled by spring 2019 in any Florida public institution and maintain continuous enrollment*. *Continuous enrollment means that you do not sit out for 2 major consecutive semesters (ex. fall/spring or spring/fall.)"
If I select the scholarship extension, when must I make a final decision?,"You will have until May 1 to make a final scholarship decision if you request an extension."
Are there fixed criteria for UCF merit scholarships?,"No, there are not fixed criteria for UCF merit scholarships. A variety of factors, but especially high school academic performance, ACT, SAT, or CLT results, application timing, leadership and extracurricular involvement, play a role in awarding scholarship offers."
Are undocumented students eligible for financial aid?,"Undocumented students studying in the United States are not eligible for federal student aid. Information on financial assistance available to undocumented students can be obtained by visiting our Office of Student Financial Assistance website."
Can I qualify for in-state tuition if I have DACA?,"Undocumented students, with or without DACA, can be eligible for in-state tuition if they meet the requirements stated in Florida Statute F.S. 1009.26. These requirements include: Attend a secondary school in this state for 3 consecutive years immediately before graduating from a high school in this state; Apply for enrollment in an institution of higher education within 24 months after high school graduation; Submit an official hard copy Florida high school transcript as evidence of attendance and graduation. Florida Statute F.S. 1009.26 (Fee Waivers) In State Fee Waiver Request Form"
Can I receive more than one scholarship from the Office of Undergraduate Admissions?,"Undergraduate Admissions can only offer one scholarship to any one student. Typically, we will offer you the highest award for which you qualify."
Can I receive my merit scholarship if I attend another college or university and later transfer to UCF?,"No, you must begin your enrollment at UCF no later than the fall semester for which the scholarship was awarded."
Can I use my merit scholarship for summer semesters?,"Your merit scholarship does not apply to the first summer semester after high school at UCF. However, students may request future summer semester scholarship disbursements from the Office of Student Financial Assistance."
Can my merit scholarship be combined with other scholarships?,"Your scholarship may be combined with other non-Undergraduate Admissions awards including Florida Bright Futures, Florida Pre-Paid, private scholarships and need-based assistance. Scholarship funds will first be applied toward the balance of your tuition and fees. If any funds remain after your student account is paid, they will be applied to any outstanding university debts. Once your student account is cleared, any remaining funds will be disbursed directly to you within the first two weeks of the beginning of each fall and spring semester. Excess funds may be received by mail or electronic funds transfer. You may make arrangements for direct deposit through Student Accounts."
Do I have to complete the FAFSA (Free Application for Federal Student Aid) to receive a UCF scholarship?,"No. The Office of Undergraduate Admissions does not require the FAFSA to be submitted to receive a merit scholarship. You and your family may wish to still submit the FAFSA to be considered for need-based aid, and you should review the filing requirements for any other scholarships to which you are applying. Please contact the Office of Student Financial Assistance for more information regarding the FAFSA and financial aid."
Do I still need to pay the nonrefundable enrollment deposit if I am offered or accept my scholarship?,"Yes, you must still submit the nonrefundable enrollment deposit even if you are offered or accept your scholarship."
Does UCF accept credit cards?,"Yes, we accept credit cards for tuition, as well as at locations across the campus. You can also use your UCF ID card, which also operates as a bank card. Please visit the UCF Card Services website for more information about the UCF Card."
Does UCF offer any out-of-state waivers?,"There are a number of waivers the university offers that may apply to out-of-state students. Please check with the Registrar’s Office for information on eligibility and requirements for these waivers."
How can I apply for the grandparent tuition waiver?,"Known as the “grandparent tuition waiver,” out-of-state students who earn a designated SAT, ACT or CLT score and meet other requirements set forth by the Florida Board of Governors may be eligible to have UCF’s out-of-state tuition fees waived if they have a grandparent who legally resides in Florida. The waiver would apply to 110% of a degree program’s required credit hours. Waivers awarded by the Office of Undergraduate Admissions, including the Grandparent Waiver, may not be combined with other admissions merit-based scholarships. The Grandparent Waiver Instructions and Application form is available on the Forms Website. NOTE: Recipients of the Grandparent Waiver must submit a $200 Enrollment Deposit by the May 1 deposit deadline. Since UCF has a limited number of waivers to award, students who do not submit a $200 Enrollment Deposit by the deadline may have their Grandparent Waiver revoked."
How can I improve my chances of receiving a merit scholarship?,"A strong academic record in high school and a competitive ACT, SAT or CLT score are factors in choosing scholarship recipients, but timing is key. Applying early means there are more scholarship opportunities available to you, so apply during your senior year from September to December. We also value leadership, extracurricular activities and community service, but no single factor guarantees or excludes you from getting a scholarship. We consider each applicant on an individual basis."
How do I appeal a merit scholarship?,"Merit scholarship funding is limited. On average, just 25% of admitted students are offered a merit scholarship. Awarding is based primarily upon the student’s academic credentials. It is typical of students awarded a scholarship to have earned test scores and grades above the incoming fall FTIC average of 1332 SAT, 28 ACT, 95 CLT and 4.25 GPA. Most awardees will have presented only A’s and B’s throughout their high school career, however, no one factor guarantees or excludes a student from being awarded a merit scholarship. Admitted First-Time-in-College (FTIC) students for summer and fall who met the November 1 Scholarship Priority Deadline were evaluated by the Scholarship Committee in the first round of scholarship reviews. If scholarship funding remains after the initial award round, the Scholarship Committee may review admitted FTIC students whose application files were completed after November 1st. Students may submit an appeal to the Scholarship Committee if one of the following conditions are met: You were not awarded a merit scholarship by UCF Undergraduate Admissions and are appealing on the basis of new or updated academic information such as a higher test scores or improved grades. You were awarded a merit scholarship by UCF Undergraduate Admissions and are appealing for a higher award amount on the basis of new or updated academic information such as higher test scores or improved grades. Appeals must include academic credentials that were not available during the initial scholarship review. The deadline to submit a scholarship appeal and supporting documentation was March 15, 2024. All students who have appealed will be notified of their appeal decision by April 1, 2024. Due to limited merit scholarship funding, no scholarship appeals will be accepted after March 15. To submit a scholarship appeal, you must log into your Future Knight Portal using this link."
How do I apply for financial aid?,"Start by submitting a Free Application for Federal Student Aid (FAFSA) prior to March 1 of your senior year in high school — you can apply online at fafsa.ed.gov. Not sure if you qualify? Still apply, as you could receive financial assistance that is not need-based."
How do I learn more about the National Merit Program awards offered through UCF?,"You may learn more about these national awards at the UCF National Merit Scholarship Program page."
How do I submit residency documents to Undergraduate Admissions?,"Once admitted, complete the Residency Declaration Form on your Future Knight Portal checklist. Residency status for tuition purposes will be reflected in myUCF following verification. Once you register for classes, access your fee invoice in myUCF and ensure that the appropriate tuition and fees are assessed."
How long do I have to take action on my scholarship?,"You have 30 days from the receipt of your scholarship award letter to accept, decline or extend the offer to May 1. Your desired action is made through your myUCF account."
How will UCF bill me for tuition and fees?,"The easiest way to pay your tuition and fees is online through myUCF. You can also obtain an invoice/class schedule from your college advising office or the registrar’s office. UCF does not mail invoices. Information regarding international payments can be found by visiting UCF Student Account Services."
I am not ready to make my final college selection. Should I still accept my merit scholarship offer?,"If you are still evaluating your college options, please request an extension on your scholarship offer. An extension lasts until May 1."
"I have already received a merit scholarship offer from UCF, but I have improved my grades and/or ACT/SAT/CLT. Will UCF automatically review me for a scholarship upgrade?","Given that we begin awarding scholarships early in the year, there is no guarantee that UCF will be able to offer awards based upon new information. Please contact the Scholarship Coordinator."
I have submitted my nonrefundable Enrollment Deposit. Will I still need to accept my scholarship?,"Yes. If you have been awarded a merit scholarship, you must accept your award even if you have submitted your Enrollment Deposit. Instructions for accepting your award will be provided by email and written correspondence."
I've been asked to submit a copy of my SSN to UCF. Why?,"If you receive a request for a copy of your Social Security Card, it means that UCF has a blank or invalid Social Security Number (SSN) on file for you. Not having a valid SSN on file will prevent you from having aid awarded through Florida Bright Futures and/or the Free Application for Federal Student Aid (FAFSA). Additionally, a valid SSN is required to process certain third party payments, such as Florida Prepaid. You may upload a copy of your Social Security Card through our secure Qualtrics portal at https://ucf.qualtrics.com/jfe/form/SV_daIPksdbz2j64mN. Once received, your student record will be updated within 15 business days."
I've heard about new legislation for an out-of-state waiver for tuition purposes for nonresident students graduating from Florida high schools. Does that mean I will qualify for residency for tuition purposes?,"This is not classification as a Florida resident for tuition purposes, but a waiver for which eligible students can apply. The student will still be classified as a nonresident for tuition purposes. Florida high school graduates who do not meet requirements for Florida Residency for Tuition Purposes, but who do meet the following conditions, are eligible for a waiver of out-of-state tuition and fees as dictated by F.S. 1009.26(12)(a): Attended a secondary school in this state for three consecutive years immediately before graduating from a high school in this state; Apply for enrollment in an institution of higher education within 24 months after high school graduation; and Submit an official Florida high school transcript as evidence of attendance and graduation. The waiver is applicable for 110 percent of the required credit hours of the degree or certificate program for which the student is enrolled. A student who is granted an out-of-state fee waiver under this subsection is not eligible for state financial aid, which includes Bright Futures. NOTE: Eligible students must apply for this waiver by the first day of classes."
"If I accept my scholarship, am I obligated to attend UCF?","No, accepting your scholarship does not obligate you to attend UCF. You have until May 1 to submit your enrollment deposit, which lets us know you will be attending. If you are unsure of your final decision at the time your scholarship is awarded, please choose the “Extend” option, which gives you until May 1 to accept your award."
What if I have been designated as a National Merit or National Hispanic Scholar and already have a Pegasus Scholarship?,"Your Scholars designation will need to be confirmed with the director of the Scholar’s program, after which you will be evaluated for the award with the greatest value."
What is the cost of attendance for an international student?,"For a list of estimated expenses for international students with F-1 or J-1 visas, please refer to the Certification of Finances section on the UCF Global website. All other students can visit our Cost & Aid page or the current fee schedule for estimated cost of attendance."
What scholarships does UCF offer? How can I apply?,"UCF offers merit-based awards for incoming freshmen and transfer students. All first-year students are automatically considered for a merit-based scholarship. There is a scholarship application process for transfer students. Scholarships are offered to students who meet academic performance criteria.Academic departments also offer scholarships — contact the department of your intended major for more information, as they are separate from the admissions process."
I am a student who has been impacted by Hurricane Maria. What are my options?,"During fall 2018, the UCF Board of Trustees extended the initial waiver for out-of-state tuition and fees through summer 2023 for residents of Puerto Rico and the U.S. Virgin Islands who were enrolled by spring 2019 in any Florida public institution and maintain continuous enrollment*.*Continuous enrollment means that you do not sit out for 2 major consecutive semesters (ex. fall/spring or spring/fall.)"
"I am receiving scholarships from other sources (Bright Futures, private funds, other awards, etc.). Can I still receive a UCF scholarship?","Yes, you may still receive a UCF scholarship. Note that UCF cannot award funds in excess of a student’s cost of attendance. Please contact the Office of Student Financial Assistance for more information."
"If I select the scholarship extension, when must I make a final decision?","You will have until May 1 to make a final scholarship decision if you request an extension."
How much does it cost to attend UCF?,"Visit our Cost & Aid page or the current fee schedule for estimated cost of attendance."
Are freshmen required to live on campus?,"No, first-year students are not required to live on campus. Most first-year students do live on campus because of the ease of transition from home to campus life, access to university resources and the ability to make lifelong friends."
Are there any campus organizations that emphasize religious or non-religious activities?,"There are nearly thirty religious, spiritual, humanist and secular organizations at UCF, representing many different faiths."
Do fraternities and sororities have separate housing?,"Some do, but the facilities are operated privately."
Does UCF have a gym on campus?,"Yes! All students have access to our 149,000-square-foot facility with fitness equipment, a track, multipurpose courts and a climbing wall, plus outdoor amenities like sand volleyball courts, a leisure pool, a lap pool and intramural sports fields. The UCF Recreation and Wellness Center (RWC) comprises many programs, such as intramural sports, sport clubs, outdoor adventure, fitness and aquatics. The RWC is open to all students; paid memberships are available for non-students. For students with disabilities: If you are in need of special accommodations to participate, please visit the Adaptive Recreation page."
Does UCF have fraternities and sororities?,"We have an active Greek community, with 43 fraternities and sororities represented and about 3,000 students involved."
Does UCF offer intramural sports?,"Yes! Intramural sports offers all activity and service fee paying UCF students (and UCF faculty and staff who purchase Recreation and Wellness Center memberships) the opportunity to participate in a variety of team, dual and individual sports. Participating is a great chance to get involved. Several divisions of play are offered for most activities to accommodate various skill levels for both recreational and competitive participation."
How can I get involved in the arts?,"From visual to performing arts, we’ve got you covered. Every spring, the university holds UCF Celebrates the Arts, an eight-day festival celebrating the performing and visual arts in downtown Orlando. If you’re into music, we have a marching band, gospel choir, jazz ensembles and more. For theater, we have two stages on campus and partner with Orlando Shakes. And if you’re into visual arts, the UCF Gallery hosts exhibitions and programming that examine cultural and social contexts and support contemporary art practices."
How can I get involved with UCF’s Student Government Association (SGA)?,"Are you interested in serving your fellow students through UCF’s Student Government Association? No SGA experience is required — just a passion for service!"
How many clubs and organizations are there at UCF?,"There are over 650 student clubs and organizations you can get involved in."
Is housing available for transfer students?,"Housing options for incoming transfer students are very limited. Contact housing for availability on the Orlando main campus and at the Rosen College of Hospitality Management."
What are my dining options?,"UCF Dining Memberships are convenient, flexible and loaded with options. Anyone with a valid UCF I.D. may purchase a Dining Membership. All Members gain access to dining locations all across campus with a range of menus and offerings. All Dining Memberships are voluntary, providing an open access community atmosphere that give members the opportunity to study, socialize and maintain a healthy diet. All Members will receive value, whether you eat on campus three times a week or three times a day! Not interested in a dining membership? There is a variety of dining establishments to choose from, including Chick-fil-A, Knightro’s, Chili’s, Einstein Bros. Bagels, Huey Magoo’s, Gringos Locos, Starbucks and many others."
What is the Student Union?,"Known as the “heart of campus,” the Student Union sits at the center of UCF’s main Campus. The Student Union provides space for students and members of the UCF community to study, socialize, eat, host events, attend meetings and engage in campus life."
What kinds of housing does UCF offer?,"UCF offers many different choices of housing on the Orlando main campus and at the Rosen College of Hospitality Management. First-year and transfer students can choose from shared-bedroom residence hall-style or single-bedroom apartment-style housing. There are also living-learning communities where you can live with other students who share similar interests."
What types of health services are offered at UCF?,"From primary care and dentistry to psychiatry and other specialty care, UCF’s Health Services has a team of experts to treat just about anything. Students can even schedule a one-on-one consultation with a clinical dietitian to discuss weight management, eating disorders, diabetes and more. The primary care consultation and evaluation by our health providers is covered by the Health Fee, included in students’ tuition. Additional services/materials are either billed to insurance, or you can take advantage of our low self-pay prices. If you require a service we do not offer, or prefer to see an in-network provider, our Referrals Department can assist in getting you where you need to go."
When can I apply for housing?,"Housing applications are available for admitted freshmen starting in mid-November for the following summer and fall semesters. Freshmen admitted prior to November, may be placed on the First to Know list in the Housing Portal to be notified just before the housing agreement is live. To add your name to the First to Know list, log into myUCF and navigate to Student Self Service > Housing > Housing Portal. Students should apply as soon as the housing application opens or as soon as they have been admitted to UCF (if admitted after November). There is limited availability for on-campus housing, so do not delay."
"Where can I find help and support for sexual harassment, sexual assault, relationship violence and stalking?","UCF stands against sexual and relationship violence. In 2018, UCF launched a new Title IX campaign: Let’s Be Clear. Through Let’s Be Clear, UCF aims to increase disclosure of sexual and relationship violence. The more people who come forward, the more who can be supported by campus and community resources. A new text message disclosure option is being introduced to support that goal. Comprehensive information about what constitutes sexual violence, how UCF responds to such incidents, and how to get help is available on the Let’s Be Clear website. Reports to the Title IX coordinator also can be made on the website."
Where can I find information about off-campus student housing?,"Off-Campus Student Services provides a listing of off-campus housing opportunities on their website."
Where can I learn more about campus safety?,"The mission of the UCF Police Department is to reduce crime and the fear of crime by providing a safe environment for our students, faculty, staff and visitors and through the safeguarding of constitutional guarantees. The UCF Police Department provides law enforcement services to the university community as well as several university-affiliated housing communities near the main campus. UCF offers Safe Escort Patrol Services (SEPS) from 7 p.m. until 1 a.m. seven days a week when classes are in session. Student employees of the UCF Police Department use golf carts to transport riders to any location on campus. If applicable, a walking escort may be provided instead of a cart. Service does not operate on holidays recognized by the state of Florida, between semesters or on football game days."
Which ROTC service branches are represented?,"UCF offers Air Force and Army ROTC, as well as the Semper Fi Society. Please visit UCF Air Force ROTC or UCF Army ROTC to get more information about these programs."
Can my professor withdraw me from his/her course?,"No. Your professor can support your decision to petition but does not have the authority to approve your petition. If your petition is approved your professor’s input will determine if you receive a “Withdraw Passing” (WP) or a “Withdraw Failing” (WF) for the course. Talk to your professor before pursuing a Late Withdrawal petition."
How do I remove my Medical Hold?,"How to file a medical hold removal application: If you have been placed on medical hold and are ready to return to classes, you must apply for a medical hold removal. Complete a Removal of Medical Hold form. You and your physician(s) will need to complete the form. Your physician(s) must forward/mail the original form to College of Graduate Studies Office of Academic Services at the address on the form. If more than one physician will complete the form, you may make a copy of the form or request one from Academic Services. Write a letter of progress addressed to the committee, indicating the following: How you have treated your medical condition, and your plans for continuing treatment when you return to classes, if applicable. Your future plans for returning to the university, including your intended course load for the semester and your plans for academic success in these classes. You may email your letter of progress to Gradservices@ucf.edu, submit the letter in-person to Millican Hall 230 with a photo id, or mail the letter to our mailing address (College of Graduate Studies, Office of Academic Services, P.O. Box 160112, Orlando, FL 32816-0112). Both the Removal of Medical Hold form from your physician and your letter of progress to the committee must be submitted within the application window. The application window dates are located under “Medical Hold Removal Applications” toward the bottom of our website. Once Academic Services receives your completed forms and supporting documents, the committee will review it on a first-come, first-serve basis. Submitting incomplete information and not providing all required documentation will delay the review of your application. If you need the Removal of Medical Hold form, please email gradservices@ucf.edu with your name, UCFID and the semester you are applying to have your medical hold lifted."
I just changed my first/last name. What is the process for updating my UCF records?,"Graduate students must complete the Change of Name Form and submit it with supporting documentation to graddegr@ucf.edu."
What documents qualify as supporting documentation for the Change of Name form?,"You must attach a copy of an official legal document containing the changed name: (e.g., Driver’s License, Social Security Card, Military ID, Vehicle Registration, Divorce Decree, Passport, Government ID.)."
What happens if I don't complete the Pressures to Plagiarize course before the deadline?,"A hold will be placed on your record preventing you from registering for classes."
What is the difference between a Late Drop and a Late Withdrawal?,"A Late Drop and a Late Withdrawal are the same as a Drop or Withdrawal except that they are petitioned after their respective deadlines (Please check the Academic Calendar for dates). If approved, a Late Drop results in a full refund of tuition fees and the complete removal of the course from the student’s academic record. If approved, a Late Withdrawal does not refund tuition fees, and a grade of “W" will be assigned by the instructor."
When is the deadline to submit the Pressures to Plagiarize Webcourse?,"Students are given 6-8 weeks to complete the course. Please reference the FAQs in the course module which specifies the completion deadline for the term you're expected to complete the course."
Where can I find my enrollment date?,"You can find your enrollment date and time by logging into myUCF and navigating to Student Self-Service. You will see an “Enrollment Appointment” box on the right side of your screen."
What are the graduate admissions requirements for UCF graduate programs?,"The minimum UCF admissions requirements are as follows: A bachelor's degree from an accredited US institution recognized by UCF or its equivalent from a foreign institution and a GPA of 3.0 or more (on a 4.0 maximum) in all work attempted while registered as an undergraduate student OR 3.0 GPA (or equivalent) or better in all work attempted while registered as an upper division student working for a baccalaureate degree, OR A graduate degree or professional degree or equivalent from a regionally accredited U.S. institution or its equivalent from a foreign institution in a field related to the discipline of the program to which the student is applying. A standardized test may or may not be required for your program. To view all application requirements and deadline for all programs, visit https://graduate.ucf.edu/application-deadlines-and-requirements/ Note: Meeting the minimum requirements outlined above do not guarantee admission into any specific program."
How can I check my application status?,"You can check the status of your application and supporting documents by accessing your applicant portal at https://applynow.graduate.ucf.edu/apply/status."
How do I submit my official transcripts to UCF for graduate study?,"Submission of Scanned Transcripts During Application Process: During the application process, you may upload PDF copies of your transcripts which we will use to review your application. These transcripts should be scanned copies of the official paper transcript issued to you by the Registrar. If you do not have copies available at this time, you will also have the option to upload your transcripts once your application is submitted using the applicant portal. Before uploading, please note the following: We will not accept copies of unofficial transcripts or screen shots of your grades from your institutions student academic portal. The transcript you upload must be a scanned copy (front and back) of the official transcript issued to you by the school Registrar. Admitted Students: All admitted students must request official transcripts (in a sealed envelope) from each previous college or university attended.  Official transcripts can be mailed to: UCF College of Graduate Studies Millican Hall, Room 230 PO Box 160112 Orlando, FL 32816-0112 If sending through FEDEX/UPS: UCF College of Graduate Studies 4365 Andromeda Loop N. Millican Hall Room 230 Orlando FL 32816-0112"
My application is complete. When will I receive an admission decision?,"Admission decision time frames vary by graduate department. Your best option would be to contact your department directly concerning the status of your application. You can find the graduate program contact for your program of interest in the graduate catalog here, http://catalog.ucf.edu/content.php?catoid=4&navoid=239. Once you find your program of interest, click on the program name. Then scroll to the bottom of the page to find contact info and use the contacts listed under “Graduate Program”"
What is the university application deadline for UCF graduate programs?,"The university application deadlines for most UCF graduate programs are as follows: Fall:  July 1 Spring:  December 1 Summer: April 1 Most graduate programs have earlier deadlines.  Please visit for https://graduate.ucf.edu/application-deadlines-and-requirements/ complete deadline information."
When and how do I receive admission decisions?,"Each department has its own time frame for reviewing completed applications. You will be notified via email of your admissions decision. The College of Graduate Studies grants the final admission and notifies the applicant via email."
Where do I take the GRE / GMAT and how do I submit my scores?,"Testing Agencies: GMAT Services -- 1-800-GMAT-NOW | www.mba.com/us | UCF Institution Code: RZT-HT-58 GRE Services -- 1-800-GRE-CALL | www.ets.org | UCF Institution Code: 5233 Official test scores must be electronically forwarded to the UCF College of Graduate Studies directly from the appropriate testing agency.  Test scores must be on file by the stated application deadline. Test scores are usually available in four to six weeks. Please note test scores are only valid for five years. If ETS/Pearson Vue cannot provide an official copy, students will need to repeat the GRE or GMAT and have an official score reported to the UCF College of Graduate Studies." I am an international graduate applicant. Can I submit my official transcripts/mark sheets and degree certificates/diplomas after I have received an admissions decision?,"During the application process, you may upload PDF copies of your transcripts which we will use to review your application. These transcripts should be scanned copies of the official paper transcript issued to you by the Registrar. Before uploading, please note the following: We will not accept copies of unofficial transcripts or screen shots of your grades from your institutions student academic portal. The transcript you upload must be a scanned copy (front and back) of the official transcript issued to you by the school Registrar. If you are uploading academic credentials from Non-US institutions, please be sure your upload includes: Transcript/Marksheet in English AND Original Language (if other than English) AND Degree Certificate in English AND Original Language (if other than English) Indian Applicants - Please visit https://ww2.graduate.ucf.edu/CountryRequirements/index.cfm?CountrySelect=IND for detailed information regarding policies regarding individual semester marketsheets and proper attestation (university vs. affiliated college) Additional information, including specific document requirements, can be found at https://ww2.graduate.ucf.edu/countryrequirements/. Questions may be emailed to gradevals@ucf.edu If you receive an offer of admission, you will be required to submit an official paper transcript. The official paper transcript will be compared to the document you uploaded. Any alterations or omission of information on the transcripts submitted to The University of Central Florida could be grounds for cancellation of your application and/or the withdrawal of the offer of admission. Some UCF programs do require an outside Course-by-Course evaluation with GPA calculation while others accept an internal evaluation which our office will complete as part of your application. To verify whether or not an outside evaluation is required for your specific program: Visit UCF's Application Requirements and Deadlines Page: https://graduate.ucf.edu/application-deadlines-and-requirements/ Click on the specific program AND track (if applicable) you are applying to If an outside evaluation is required, you will see the following statement; "Applicants applying to this program who have attended a college/university outside the United States must provide a course-by-course credential evaluation with GPA calculation. Credential evaluations are accepted from World Education Services (WES) or Josef Silny and Associates, Inc. only." We will accept evaluations from either World Education Services, Inc., www.wes.org, or from Josef Silny and Associates, Inc.,www.jsilny.com. These evaluations must be course-by-course evaluated. We also require that you submit official transcripts which include your marks sheet(s) and degree certificate(s)."
"I am an international graduate applicant. I am only issued one original copy of my degree certificate, official transcripts, and mark sheets. How can I supply them to you in a timely manner?","Please contact the College of Graduate Studies at gradevals@ucf.edu for information on submitting official transcripts."
I am an international graduate applicant. What kind of academic credentials are required when applying for graduate studies at UCF?,"Scanned official documents to be submitted will include: transcripts/mark sheets showing all classes taken, and grades/marks earned; degree certificates/diplomas showing degrees conferred, and dates awarded; and English translations, when necessary. More information can be found by visiting UCF's Sample Country Requirements. If you receive an offer of admission, you will be required to submit an official paper transcript. The official paper transcript will be compared to the document you uploaded. Any alterations or omission of information on the transcripts submitted to The University of Central Florida could be grounds for cancellation of your application and/or the withdrawal of the offer of admission."
I am an international graduate applicant. Will I need to submit an evaluation of my academic credentials?,"It depends. Some UCF programs do require an outside Course-by-Course evaluation with GPA calculation while others accept an internal evaluation which our office will complete as part of your application. To verify whether or not an outside evaluation is required for your specific program: Visit UCF's Application Requirements and Deadlines Page: https://graduate.ucf.edu/application-deadlines-and-requirements/ Click on the specific program AND track (if applicable) you are applying to If an outside evaluation is required, you will see the following statement; "Applicants applying to this program who have attended a college/university outside the United States must provide a course-by-course credential evaluation with GPA calculation. Credential evaluations are accepted from World Education Services (WES) or Josef Silny and Associates, Inc. only." We will accept evaluations from either World Education Services, Inc., www.wes.org, or from Josef Silny and Associates, Inc.,www.jsilny.com. These evaluations must be course-by-course evaluated. We also require that you submit official transcripts which include your marks sheet(s) and degree certificate(s)."
I am an international student. How do I know what type of visa I need?,"Generally, students fall under one of these two visa classifications: an F-1 student visa or a J-1 exchange visitor visa. For more information on which visa classification is right for you, please visit the UCF Global website global.ucf.edu."
What are the graduate requirements for international students? Is the TOEFL required?,"All applicants for graduate study at the University of Central Florida must hold a U.S. bachelor’s degree, or its equivalent, from a regionally accredited or governmentally recognized institution of higher learning. This is a minimum requirement for admission to a graduate program at UCF. Minimum UCF Requirement for GRE/GMAT There is no University minimum requirement for these test scores. Please speak directly with your program’s director to determine if that program has any specific minimum GRE/GMAT score requirements. Minimum UCF Requirement for TOEFL/IELTS TOEFL iBT score of 80 IELTS band score of 6.5 Please note, some programs may require higher TOEFL or IELTS scores. The following applicants are exempt from the TOEFL or IELTS requirements: those who are from countries where English is the only official language; those who have earned a degree from a regionally accredited U.S. college or university; those who have earned a degree from a country where English is the only official language; those who have earned a degree from a university at which English is the only official language of instruction; or those who have successfully completed Level 8 of UCF’s Intensive English Program with a grade of “B” or better. International students applying to programs requiring an outside Course-by-Course Evaluation with GPA calculation must submit a course-by-course evaluation of their official transcripts from a credential evaluation service recommended by UCF. This course-by-course evaluation must show a GPA that is equivalent to a 3.0 from an earned degree that is equivalent to a U.S. bachelor's degree."
Am I eligible to be a graduate assistant?,"You must be accepted as a graduate student in a degree program and be enrolled full-time to qualify for a graduate assistantship. Graduate students enrolled in fully online programs that exempt them from paying campus-based fees are not eligible for university assistantships offered through the College of Graduate Studies."
Does my assistantship include paid health insurance coverage?,"If you are receiving a university fellowship that is accompanied by a tuition waiver or you are a graduate assistant with a single appointment of at least 20 hours per week (0.5 FTE) or two appointments of at least 10 hours per week each (0.25 FTE each), you qualify for health insurance coverage paid for by the College of Graduate Studies."
Does my assistantship include tuition remission?,"The level of tuition remission will be commensurate with the level of your assistantship appointment. If you have a half-time appointment (10 hours per week), you are eligible for tuition remission of one-half of the resident (in-state) tuition. If you have a full-time appointment (20 hours per week), you are eligible to receive full resident (in-state) tuition remission. Tuition remission does not include local fees (building fee, financial aid fee, activity and service fee, athletic fee, etc.); however, some hiring departments do cover all or part of these local fees."
How do I apply for an assistantship?,"You should contact your Graduate Program Director for application guidelines."
What is a graduate assistantship?,"A graduate assistantship is an appointment that offers opportunities for students to engage in research, teaching, and other projects during their graduate study. Both half- and full-stipend assistantships are available. Half-stipend assistantships require students to perform assistantship assignments for a minimum of 10 hours per week during the period of the assignment. Full-stipend assistantships require students to perform assistantship assignments for a minimum of 20 hours per week during the period of the assignment."
It's been more than five weeks. What should I do if my degree hasn't been certified?,"If it has been more than five weeks since final grades posted, and you have not received confirmation that your degree has been certified, please contact your Graduate Program. Please refer to the Academic Calendar to verify when final grades have been posted."
What is degree certification?,"Degree certification refers to the official approval that the student has met all degree requirements."
When does degree certification occur?,"It occurs after final grades have posted. It takes approximately 5 weeks for the programs and the College of Graduate Studies to complete the process."
